"Imaginaire Wereld",,,1,80.0
"Ruimte buiten de Aarde",,,3,80.1
Aarde,,,23,80.2
Wereldzeeën,"(W 0 - O 0 /N 90 - Z 90)","0,-90,-0,90",32,80.3
"Wereldzeeën;Arctische Oceaan","(W 180 - O 180 /N 90 - N 62)","180,62,-180,90",3,80.3.000
"Wereldzeeën;Arctische Oceaan;Oostelijke Arctische Oceaan","(O 0 - O 180 /N 90 - N 62)","180,62,0,90",1,80.3.010
"Wereldzeeën;Arctische Oceaan;Oostelijke Arctische Oceaan;Barentz-zee","(O 19 - O 70 /N 82 - N 66)","70,66,19,82",0,80.3.011
"Wereldzeeën;Arctische Oceaan;Oostelijke Arctische Oceaan;Witte Zee","(O 32 - O 45 /N 68 - N 62)","45,62,32,68",0,80.3.012
"Wereldzeeën;Arctische Oceaan;Oostelijke Arctische Oceaan;Karische Zee","(O 55 - O 106 /N 83 - N 67)","106,67,55,83",0,80.3.013
"Wereldzeeën;Arctische Oceaan;Oostelijke Arctische Oceaan;Laptewzee","(O 95 - O 141 /N 83 - N 71)","141,71,95,83",0,80.3.014
"Wereldzeeën;Arctische Oceaan;Oostelijke Arctische Oceaan;Oostsiberische Zee","(O 138 - O 180 /N 078 - N 67)","180,67,138,078",0,80.3.015
"Wereldzeeën;Arctische Oceaan;Westelijke Arctische Oceaan","(W 180 - W 0 /N 90 - N 62)","-0,62,-180,90",0,80.3.020
"Wereldzeeën;Arctische Oceaan;Westelijke Arctische Oceaan;Tsjoekstjenzee (Chuchchi Zee)","(O 176 - W 160 /N 72 - N 66)","-160,66,176,72",0,80.3.021
"Wereldzeeën;Arctische Oceaan;Westelijke Arctische Oceaan;Beaufortzee","(W 157 - W 124 /N 77 - N 68)","-124,68,-157,77",0,80.3.022
"Wereldzeeën;Arctische Oceaan;Westelijke Arctische Oceaan;Noordwest Passage","(W 129 - W 79 /N 83 - N 63)","-79,63,-129,83",0,80.3.023
"Wereldzeeën;Arctische Oceaan;Westelijke Arctische Oceaan;Baffinbaai","(W 81- W 50 /N 82 - N 70)","-50,70,-81,82",0,80.3.024
"Wereldzeeën;Arctische Oceaan;Westelijke Arctische Oceaan;Lincolnzee","(W 70 - W 46 /N 83 - N 81)","-46,81,-70,83",0,80.3.025
"Wereldzeeën;Atlantische Oceaan","(W 100 - O 50 /N 85 - Z 85)","50,-85,-100,85",25,80.3.100
"Wereldzeeën;Atlantische Oceaan;Noordoostelijke Atlantische Oceaan","(W 50 - O 50 /N 85 - N 0)","50,0,-50,85",11,80.3.110
"Wereldzeeën;Atlantische Oceaan;Noordoostelijke Atlantische Oceaan;Groenlandzee","(W 34 - O 17 /N 83 - N 65)","17,65,-34,83",0,80.3.111
"Wereldzeeën;Atlantische Oceaan;Noordoostelijke Atlantische Oceaan;Noorse Zee","(W 14 - O 26 /N 77 - N 61)","26,61,-14,77",0,80.3.112
"Wereldzeeën;Atlantische Oceaan;Noordoostelijke Atlantische Oceaan;Noordzee","(W 4 - O 9 /N 61 - N 50)","9,50,-4,61",3,80.3.113
"Wereldzeeën;Atlantische Oceaan;Noordoostelijke Atlantische Oceaan;Skagerrak","(O 7 - O 12 /N 58 - N 57 30)","12,57.5,7,58",1,80.3.114
"Wereldzeeën;Atlantische Oceaan;Noordoostelijke Atlantische Oceaan;Deense Wateren (Kattegat, Sont en Belten)","(O 9 30 - O 13 10 /N 58 - N 54 30)","13.166666666667,54.5,9.5,58",1,80.3.115
"Wereldzeeën;Atlantische Oceaan;Noordoostelijke Atlantische Oceaan;Baltische Zee","(O 9 30 - O 30 10 /N 66 - N 54 10)","30.166666666667,54.166666666667,9.5,66",1,80.3.116
"Wereldzeeën;Atlantische Oceaan;Noordoostelijke Atlantische Oceaan;Baltische Zee;Oostzee","(O 9 - O 23 /N 61 - N 53)","23,53,9,61",1,80.3.116.050
"Wereldzeeën;Atlantische Oceaan;Noordoostelijke Atlantische Oceaan;Baltische Zee;Botnische Golf","(O 17 - O 26 /N 66 - N 60)","26,60,17,66",0,80.3.116.100
"Wereldzeeën;Atlantische Oceaan;Noordoostelijke Atlantische Oceaan;Baltische Zee;Finse Golf","(O 22 - O 31 /N 61 - N 59)","31,59,22,61",0,80.3.116.150
"Wereldzeeën;Atlantische Oceaan;Noordoostelijke Atlantische Oceaan;Baltische Zee;Golf van Riga","(O 21 - O 25 /N 59 - N 56)","25,56,21,59",0,80.3.116.200
"Wereldzeeën;Atlantische Oceaan;Noordoostelijke Atlantische Oceaan;Westschotse Zee","(W 8 30 - W 4 30 /N 58 40 - N 54 20)","-4.5,54.333333333333,-8.5,58.666666666667",0,80.3.117
"Wereldzeeën;Atlantische Oceaan;Noordoostelijke Atlantische Oceaan;Ierse Zee",,,0,80.3.118
"Wereldzeeën;Atlantische Oceaan;Noordoostelijke Atlantische Oceaan;Kanaal van Bristol","(W 2 30 - W 5 /N 51 45 - N 51)","-5,51,-2.5,51.75",0,80.3.119
"Wereldzeeën;Atlantische Oceaan;Noordoostelijke Atlantische Oceaan;Keltische Zee","(W 11 30 - W 4 /N 52 15 - N 46 30)","-4,46.5,-11.5,52.25",6,80.3.120
"Wereldzeeën;Atlantische Oceaan;Noordoostelijke Atlantische Oceaan;Het Kanaal","(W 5 45 - O 2 45 /N 51 15 - N 48 30)","2.75,48.5,-5.75,51.25",2,80.3.121
"Wereldzeeën;Atlantische Oceaan;Noordoostelijke Atlantische Oceaan;Golf van Biskaje","(W 8 - W 4 15 /N 48 - N 43)","-4.25,43,-8,48",1,80.3.122
"Wereldzeeën;Atlantische Oceaan;Noordoostelijke Atlantische Oceaan;Middellandse Zee","(W 6 30 - O 36 30 /N 46 - N 30)","36.5,30,-6.5,46",3,80.3.123
"Wereldzeeën;Atlantische Oceaan;Noordoostelijke Atlantische Oceaan;Middellandse Zee;Westelijke Middellandse Zee","(W 6 30 - O 16 30 /N 44 30 - N 35)","16.5,35,-6.5,44.5",0,80.3.123.050
"Wereldzeeën;Atlantische Oceaan;Noordoostelijke Atlantische Oceaan;Middellandse Zee;Straat van Gibraltar","(O 10 - O 11 /N 38 - N 36)","11,36,10,38",0,80.3.123.100
"Wereldzeeën;Atlantische Oceaan;Noordoostelijke Atlantische Oceaan;Middellandse Zee;Alboranzee","(W 5 30 - W 1 /N 37 - N 35)","-1,35,-5.5,37",0,80.3.123.150
"Wereldzeeën;Atlantische Oceaan;Noordoostelijke Atlantische Oceaan;Middellandse Zee;Balearenzee (Iberische Zee)","(W 0 30 - O 4 30 /N 42 - N 38 30)","4.5,38.5,-0.5,42",0,80.3.123.200
"Wereldzeeën;Atlantische Oceaan;Noordoostelijke Atlantische Oceaan;Middellandse Zee;Ligurische Zee","(O 7 30 - O 10 /N 44 30 - N 42 45)","10,42.75,7.5,44.5",0,80.3.123.250
"Wereldzeeën;Atlantische Oceaan;Noordoostelijke Atlantische Oceaan;Middellandse Zee;Tyrrheense Zee","(O 8 30 - O 16 30 /N 44 15 - N 37 30)","16.5,37.5,8.5,44.25",0,80.3.123.300
"Wereldzeeën;Atlantische Oceaan;Noordoostelijke Atlantische Oceaan;Middellandse Zee;Oostelijke Middellandse Zee","(O 10 - O 34 30 /N 46 - N 30)","34.5,30,10,46",0,80.3.123.500
"Wereldzeeën;Atlantische Oceaan;Noordoostelijke Atlantische Oceaan;Middellandse Zee;Ionische Zee","(O 15 - O 23 30 /N 40 - N 36 30)","23.5,36.5,15,40",0,80.3.123.550
"Wereldzeeën;Atlantische Oceaan;Noordoostelijke Atlantische Oceaan;Middellandse Zee;Adriatische Zee","(O 12 - O 20 /N 46 - N 39)","20,39,12,46",1,80.3.123.600
"Wereldzeeën;Atlantische Oceaan;Noordoostelijke Atlantische Oceaan;Middellandse Zee;Egeïsche Zee","(O 22 30 - O 28 30 /N 41 - N 35)","28.5,35,22.5,41",1,80.3.123.650
"Wereldzeeën;Atlantische Oceaan;Noordoostelijke Atlantische Oceaan;Zee van Marmara","(O 26 - O 30 /N 41 15 - N 40)","30,40,26,41.25",0,80.3.124
"Wereldzeeën;Atlantische Oceaan;Noordoostelijke Atlantische Oceaan;Zwarte Zee","(O 27 - O 42 /N 47 - N 40 45)","42,40.75,27,47",0,80.3.125
"Wereldzeeën;Atlantische Oceaan;Noordoostelijke Atlantische Oceaan;Zee van Azow","(O 33 30 - O 40 /N 47 30 - N 45)","40,45,33.5,47.5",0,80.3.126
"Wereldzeeën;Atlantische Oceaan;Noordoostelijke Atlantische Oceaan;Golf van Guinee","(W 8 - O 10 /N 7 - N 0)","10,0,-8,7",0,80.3.127
"Wereldzeeën;Atlantische Oceaan;Zuidoostelijke Atlantische Oceaan","(W 20 - O 20 /Z 0 - Z 68)","20,-68,-20,-0",1,80.3.130
"Wereldzeeën;Atlantische Oceaan;Zuidwestelijke Atlantische Oceaan","(W 67 16 - W 20 /N 10 - Z 80)","-20,-80,-67.266666666667,10",3,80.3.150
"Wereldzeeën;Atlantische Oceaan;Zuidwestelijke Atlantische Oceaan;Rio de la Plata","(W 59 - W 53 /Z 34 - Z 37)","-53,-37,-59,-34",0,80.3.151
"Wereldzeeën;Atlantische Oceaan;Noordwestelijke Atlantische Oceaan","(W 100 - W 44 /N 70 - N 0)","-44,0,-100,70",6,80.3.170
"Wereldzeeën;Atlantische Oceaan;Noordwestelijke Atlantische Oceaan;Caribische Zee","(W 89 - W 62 /N 23 - N 8)","-62,8,-89,23",1,80.3.171
