dmrecord,title,file,link,dpi,viewer,date,creator,publisher,scale,physical_width,physical_height
1482,"[Indexkaart], uit: ['s-Gravenhage] / gemeten en gecarteerd door C. Elandts",0106050512001.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/1482,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/1498/show/1482,1681,Cornelis Elandts 1641-ca.1687,,1:1.400,0,0
1483,"[Foto overzicht], uit: ['s-Gravenhage] / gemeten en gecarteerd door C. Elandts",0106050512002.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/1483,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/1498/show/1483,1681,Cornelis Elandts 1641-ca.1687,,1:1.400,0,0
1484,"[1], uit: ['s-Gravenhage] / gemeten en gecarteerd door C. Elandts",0106050512003.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/1484,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/1498/show/1484,1681,Cornelis Elandts 1641-ca.1687,,1:1.400,0,0
1485,"[2], uit: ['s-Gravenhage] / gemeten en gecarteerd door C. Elandts",0106050512004.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/1485,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/1498/show/1485,1681,Cornelis Elandts 1641-ca.1687,,1:1.400,0,0
1486,"[3], uit: ['s-Gravenhage] / gemeten en gecarteerd door C. Elandts",0106050512005.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/1486,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/1498/show/1486,1681,Cornelis Elandts 1641-ca.1687,,1:1.400,0,0
1487,"[4], uit: ['s-Gravenhage] / gemeten en gecarteerd door C. Elandts",0106050512006.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/1487,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/1498/show/1487,1681,Cornelis Elandts 1641-ca.1687,,1:1.400,0,0
1488,"[5], uit: ['s-Gravenhage] / gemeten en gecarteerd door C. Elandts",0106050512007.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/1488,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/1498/show/1488,1681,Cornelis Elandts 1641-ca.1687,,1:1.400,0,0
1489,"[6], uit: ['s-Gravenhage] / gemeten en gecarteerd door C. Elandts",0106050512008.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/1489,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/1498/show/1489,1681,Cornelis Elandts 1641-ca.1687,,1:1.400,0,0
1490,"[7], uit: ['s-Gravenhage] / gemeten en gecarteerd door C. Elandts",0106050512009.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/1490,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/1498/show/1490,1681,Cornelis Elandts 1641-ca.1687,,1:1.400,0,0
1491,"[8], uit: ['s-Gravenhage] / gemeten en gecarteerd door C. Elandts",0106050512010.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/1491,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/1498/show/1491,1681,Cornelis Elandts 1641-ca.1687,,1:1.400,0,0
